geneId	nbUmis	nbIsoformSet	nbIsoformNotSet
Mcm6	323	199	124
Ang	1	0	1
Pltp	4	1	3
Mcm2	231	101	130
Ank	84	10	74
RP24-340J3.3	62	62	0
Inafm2	28	28	0
Inafm1	196	196	0
Vps50	366	213	153
Vps51	1	0	1
RP23-214M22.2	15	1	14
Vps52	179	16	163
RP23-214M22.3	3	2	1
Vps53	156	59	97
RP24-276A6.1	9	9	0
9130008F23Rik	6	5	1
Vps54	67	1	66
Osbpl1a	159	27	132
D2hgdh	43	13	30
RP24-297D18.1	48	43	5
D930015E06Rik	412	44	368
Nfs1	64	35	29
Lrrk1	6	3	3
Lrrk2	4	0	4
C1d	984	880	104
Arrb2	147	62	85
Arrb1	96	10	86
RP23-214M22.8	2	2	0
Mir3620	1	1	0
RP24-340J3.2	34	34	0
Bod1l	754	2	752
Tspear	1	0	1
Vps41	577	121	456
Hist1h4m	22	22	0
Hist1h4n	15	15	0
Hist1h4k	11	11	0
Vps45	157	86	71
Iars2	46	11	35
Folr1	1	0	1
Folr2	1	1	0
Dpagt1	109	25	84
Itih5	8	1	7
Hist1h4f	1	1	0
Hist1h4c	9	9	0
Hist1h4d	238	238	0
Hist1h4i	312	312	0
Hist1h4j	29	29	0
Apc	1070	19	1051
Mpc1-ps	58	58	0
Hist1h4h	63	63	0
Hk1os	14	11	3
Hist1h4a	4	4	0
Hist1h4b	27	27	0
Enox1	432	19	413
Enox2	38	4	34
App	676	330	346
Abcb10	43	12	31
Surf6	117	52	65
Fnip1	270	4	266
Fnip2	33	1	32
Sh3glb1	793	323	470
Sh3glb2	296	160	136
AC124730.5	1	0	1
Nfu1	628	490	138
AC124730.7	1	1	0
RP23-79J15.4	65	36	29
Fbxl12os	57	4	53
RP23-79J15.5	3	0	3
Cyp1b1	3	0	3
Gsap	82	3	79
Cxxc1	270	98	172
Bcor	140	0	140
Cxxc4	179	14	165
Scamp3	302	222	80
RP23-215D22.1	1	1	0
Cxxc5	301	39	262
Scamp2	202	130	72
Scamp1	378	23	355
RP23-239I17.1	22	0	22
RP23-239I17.2	23	23	0
RP23-239I17.3	38	38	0
Scamp5	126	6	120
RP23-239I17.4	202	202	0
Aqr	125	7	118
Vps37a	189	41	148
RP23-239I17.5	310	310	0
Grpel2	309	257	52
Vps37b	608	443	165
RP23-239I17.7	113	113	0
Vps37c	185	60	125
Grpel1	684	643	41
Vps37d	176	87	89
Cmklr1	1	0	1
Cnot6l	117	6	111
RP23-52J10.4	22	22	0
RP23-52J10.5	21	21	0
Tram1l1	216	216	0
C4a	2	0	2
RP23-52J10.6	18	18	0
Arc	17	6	11
Svbp	1764	1589	175
RP23-52J10.3	2	2	0
Hnrnpr	1807	484	1323
Pcdhb16	17	17	0
Pcdhb17	44	44	0
Pcdhb18	5	5	0
Arx	677	147	530
Hnrnpu	1169	17	1152
Pcdhb19	17	17	0
RP23-206J17.2	30	30	0
Saxo2	33	29	4
RP24-75K10.1	1	0	1
Pcdhb12	2	2	0
RP23-415B4.3	8	0	8
Pcdhb13	2	2	0
Gse1	374	5	369
Pcdhb14	17	17	0
Pcdhb15	5	5	0
Asl	81	51	30
Pcdhb10	4	4	0
Pcdhb11	6	6	0
Cftr	4	0	4
Acer2	42	26	16
AC116772.2	1	0	1
RP23-263O11.1	78	0	78
Acer3	9	1	8
Lrrn1	98	36	62
Surf1	369	198	171
Lrrn2	184	68	116
Surf2	353	238	115
Hnrnpc	3478	1460	2018
Lrrn3	155	8	147
Hnrnpd	1176	435	741
Surf4	272	121	151
Hnrnpf	1820	1312	508
RP23-471J16.2	8	8	0
Atm	54	0	54
Hnrnpk	5352	3253	2099
Pcdhb20	19	19	0
Paics	692	519	173
Hnrnpl	618	246	372
Pcdhb21	22	22	0
Atr	209	23	186
Hnrnpm	1264	0	1264
Pcdhb22	28	0	28
Glt1d1	30	2	28
Aldh3a2	47	16	31
Aldh3a1	1	0	1
Rsf1	778	4	774
Gsg1	2	2	0
Gsg2	31	31	0
Auh	317	252	65
RP24-293N14.2	4	0	4
Rsrc2	1670	399	1271
RP24-240K8.7	2	2	0
RP24-149G13.4	93	93	0
Mirt1	2	1	1
Pdrg1	748	667	81
RP23-297J14.5	11	11	0
RP24-108G5.4	1	1	0
RP24-90K19.3	31	31	0
RP24-108G5.5	2	2	0
RP24-90K19.4	63	63	0
Tyk2	13	1	12
RP24-90K19.1	8	0	8
RP23-332K7.1	4	4	0
Rsrc1	568	188	380
RP23-288M21.2	1	0	1
AC165975.3	1	0	1
RP23-140M6.1	109	109	0
Glycam1	1	1	0
C8b	1	0	1
RP23-316A19.2	1	1	0
RP23-140M6.3	99	99	0
RP23-140M6.2	29	29	0
C8g	2	0	2
Nfx1	581	71	510
Avp	1	0	1
RP23-297J14.2	4	2	2
Rsl24d1	26	0	26
RP23-295F17.2	1	1	0
RP23-180L12.1	124	0	124
Svil	60	0	60
Nfyb	484	275	209
Deptor	26	2	24
Nfya	69	10	59
Nfyc	333	226	107
RP23-180L12.4	1	1	0
Lmcd1	69	49	20
RP23-180L12.5	12	0	12
Svip	115	87	28
Abcb1b	28	0	28
Sec14l1	428	146	282
Sec14l2	10	7	3
Sec14l3	2	0	2
Sec14l4	2	0	2
Qpct	42	28	14
Emc2	391	258	133
RP23-228H14.6	8	0	8
Emc1	43	0	43
Emc4	727	633	94
Tmub1	172	144	28
Emc3	461	241	220
Emc6	1142	1089	53
RP23-228H14.2	7	7	0
Emc8	71	0	71
RP24-108G5.3	5	5	0
Emc7	400	274	126
RP23-295F17.1	859	859	0
RP23-133N21.3	17	0	17
Tmub2	274	199	75
Emc9	49	41	8
RP24-482L4.1	2	2	0
Mcub	70	59	11
Rsg1	38	10	28
Pbld1	2	0	2
Axl	20	0	20
Prkcdbp	140	133	7
Iglon5	232	11	221
RP23-329B24.1	2	0	2
Pbld2	43	0	43
RP24-317M4.4	6	0	6
RP23-205D3.1	1	1	0
RP24-317M4.6	3	3	0
Creg2	4	2	2
Creg1	76	63	13
Rsrp1	2366	1820	546
Timm17a	453	369	84
RP23-328P7.1	27	0	27
Timm17b	739	626	113
RP23-337H1.2	1	1	0
RP24-317M4.1	15	15	0
RP23-353G11.6	2	2	0
Emcn	2	0	2
Eme2	6	0	6
Eme1	43	12	31
Dkkl1	3	3	0
RP24-276C17.2	8	8	0
Tyms	433	301	132
AC087115.1	56	0	56
RP23-436D14.6	2	1	1
RP24-141A7.1	4	0	4
RP23-265O1.1	1	0	1
RP23-4H17.1	79	79	0
RP23-4H17.4	13	13	0
Rsl1	27	7	20
RP23-324J22.3	7	0	7
RP23-324J22.6	2	2	0
Rccd1	105	2	103
Pmf1	274	241	33
Xxylt1	7	3	4
RP23-30F6.3	46	46	0
RP23-280I2.1	42	13	29
Emg1	1209	992	217
RP23-58I15.1	1	0	1
Tom1l2	74	5	69
Tom1l1	24	11	13
Nsfl1c	967	879	88
Aldh3b3	1	0	1
RP23-314N18.4	4	0	4
RP23-93M7.3	2	2	0
RP23-114E15.13	13	0	13
RP23-114E15.12	58	58	0
RP23-314N18.1	7	0	7
RP24-547N23.2	16	3	13
RP24-257J5.1	46	13	33
RP24-547N23.4	12	0	12
RP23-180I2.1	1	1	0
RP23-114E15.18	3	3	0
Fpgt	40	12	28
Fpgs	22	0	22
RP23-474J16.2	2	0	2
Tvp23b	271	119	152
Tvp23a	163	34	129
RP23-38J2.1	1	1	0
Zap70	3	0	3
RP23-344D21.1	1	1	0
RP23-344D21.3	82	82	0
RP23-292F17.2	6	6	0
Svop	306	125	181
RP24-309B14.1	3	3	0
RP23-292F17.4	1	1	0
RP23-292F17.3	12	12	0
4831440E17Rik	60	0	60
RP23-292F17.6	1	0	1
RP23-292F17.5	8	0	8
Aqp11	35	25	10
Sdf2l1	181	169	12
Lingo4	2	0	2
RP24-114K21.4	19	0	19
AC147632.1	2	2	0
Lingo3	17	4	13
Cdadc1	80	41	39
Lingo2	34	1	33
Lingo1	220	58	162
RP24-89A4.2	9	0	9
Baiap3	1	0	1
Cks1b	731	696	35
Baiap2	210	125	85
RP24-114K21.2	2	0	2
RP23-38J11.2	1	1	0
RP23-418G1.1	7	1	6
Creb1	353	77	276
Pmel	2	0	2
Creb3	220	173	47
Vps33a	85	39	46
Vps33b	51	5	46
RP23-3J8.1	4	4	0
Omt2b	1	1	0
Creb5	318	27	291
RP23-235O1.3	2	0	2
RP23-345D18.4	37	20	17
Fundc2	549	403	146
Fundc1	216	166	50
RP23-112F6.2	5	5	0
RP23-310N7.5	1	1	0
RP23-337J7.2	1	1	0
RP24-427L24.4	1	1	0
RP23-351O20.1	2	0	2
Hmg20a	605	183	422
Hmg20b	356	174	182
RP23-106I21.5	3	0	3
RP23-106I21.6	1	1	0
RP24-486I4.3	1	0	1
Vprbp	147	2	145
Donson	31	8	23
Tyw1	171	42	129
Kcnab1	25	2	23
RP23-210M6.5	165	121	44
Kcnab2	17	7	10
RP23-14J5.1	1	0	1
Pot1b	36	0	36
Kcnab3	28	14	14
Pot1a	103	26	77
Timm10b	4	0	4
Bad	617	455	162
Arhgap27os2	5	0	5
Ctnnbip1	1618	1234	384
Arhgap27os1	1	1	0
AC101869.3	1	0	1
RP23-380A10.8	1	0	1
Bc1	1	1	0
RP23-380A10.5	1	1	0
RP23-380A10.6	3	3	0
Bax	11	0	11
RP23-66A20.1	2	2	0
Dennd3	32	0	32
A730071L15Rik	14	14	0
RP23-105M20.1	26	26	0
Lman1	224	13	211
Mdc1	157	2	155
RP23-428C21.2	121	121	0
Gm4221	21	0	21
Ptdss1	170	95	75
Lman2	261	162	99
RP23-428C21.5	4	4	0
Ngdn	410	273	137
Ptdss2	373	211	162
Clvs1	362	53	309
RP24-239K20.1	3	3	0
Smim20	304	230	74
Clvs2	16	7	9
Smim15	321	272	49
Smim14	118	7	111
RP23-152A20.2	10	0	10
Smim13	397	101	296
Smim19	291	183	108
Smim18	348	300	48
Smim17	14	0	14
Bbx	265	16	249
Rnf113a1	101	101	0
RP24-258K6.10	36	36	0
Rab11b	1727	1315	412
U2surp	1085	2	1083
Vwa5b2	38	0	38
Ngef	25	9	16
Rab11a	161	38	123
Rnf113a2	190	190	0
RP24-84B18.2	90	90	0
RP23-372I17.4	7	0	7
Supt3	267	128	139
RP23-372I17.5	18	18	0
Supt5	417	22	395
Tyw3	56	31	25
CAAA01187608.3	3	3	0
CAAA01187608.2	1	1	0
Tyw5	69	58	11
Eml1	135	18	117
Eml3	29	1	28
Eml2	112	15	97
Bcr	205	1	204
Eml5	189	4	185
Eml4	428	8	420
Snap47	1241	897	344
Smim24	10	9	1
Eml6	26	0	26
Dapk1	409	35	374
Dapk2	10	5	5
Dapk3	503	339	164
Supt6	274	0	274
Avpr1a	3	0	3
Gabarap	4695	4463	232
RP23-8I8.3	1	1	0
RP23-8I8.4	44	44	0
AC113285.6	1	1	0
RP23-8I8.2	1	1	0
Ngfr	4	2	2
Stmn1	4416	2618	1798
1700015F17Rik	1	0	1
Rspry1	364	156	208
RP23-238J3.2	1	0	1
RP24-64D24.6	2	0	2
Stmn2	13650	11570	2080
Stmn3	6681	6292	389
Stmn4	3660	2855	805
Rsu1	205	136	69
RP24-173G12.1	7	7	0
RP24-459O21.3	1	1	0
RP24-173G12.4	1	1	0
RP24-173G12.5	1	1	0
Igsf21	77	38	39
Pmm2	179	104	75
Pmm1	785	721	64
RP23-445G17.1	8	1	7
Smim12	284	249	35
Aaas	90	58	32
Smim11	603	480	123
Snap29	131	70	61
RP23-46D6.7	8	8	0
RP23-24C14.1	2	1	1
RP23-46D6.5	13	13	0
Snap25	1299	36	1263
RP23-46D6.4	10	0	10
Dnttip2	470	79	391
RP23-336B11.1	1	0	1
Snap23	85	25	60
Dnttip1	285	137	148
RP23-57F11.10	5	0	5
RP23-372F2.2	1	0	1
RP23-456B7.4	1	0	1
RP23-407K8.3	1	1	0
Manbal	856	521	335
Rpusd4	95	69	26
Rpusd2	23	10	13
Rpusd3	47	30	17
Mir143hg	1	0	1
Rpusd1	84	14	70
Tigd3	23	16	7
Tigd2	254	125	129
Tigd5	50	50	0
Tigd4	1	1	0
RP24-201C14.12	15	15	0
Mdfi	41	13	28
RP24-201C14.10	4	4	0
RP24-218M19.2	2	2	0
Emp1	15	2	13
Bgn	16	6	10
Rspo1	18	8	10
Tlr12	1	0	1
Emp3	5	3	2
Rspo3	391	26	365
Emp2	55	38	17
Rspo2	39	7	32
Tlr13	1	0	1
RP23-27C9.6	4	0	4
Aacs	235	72	163
Bdh2	16	11	5
Bdh1	582	255	327
Cyp20a1	151	69	82
Aldh1l1	57	29	28
Aldh1l2	84	6	78
RP24-80F7.8	2	2	0
Mir22hg	5	0	5
RP24-272N4.1	39	0	39
AC117623.1	4	0	4
RP24-272N4.2	1	0	1
Champ1	208	61	147
RP23-151N17.1	107	107	0
Mef2d	146	4	142
RP23-461P14.1	22	22	0
Nfam1	3	0	3
RP24-401F19.1	10	10	0
Pms2	125	25	100
RP24-401F19.2	2	2	0
RP23-402H19.3	3	3	0
Bid	72	41	31
Pms1	22	4	18
RP23-353F16.6	3	3	0
Hinfp	37	4	33
Pcmt1	926	732	194
Veph1	92	47	45
Gsx2	6	4	2
Mdh1	2198	2021	177
Mdh2	3017	2649	368
Bik	4	2	2
Gsx1	14	8	6
RP23-204L16.5	1	1	0
Sssca1	786	703	83
RP24-333B11.5	2	2	0
Mef2a	203	45	158
RP24-333B11.4	17	17	0
RP23-383A10.6	2	2	0
Tigar	51	25	26
RP23-383A10.7	1	1	0
Mef2c	2714	627	2087
Dnaja1-ps	1	1	0
Asrgl1	312	254	58
RP23-204L16.4	1	1	0
Rcan1	229	150	79
RP24-228M19.1	3821	3821	0
Rcan2	75	16	59
Rcan3	23	0	23
n-R5s200	3	3	0
Gm6807	3	3	0
Fam46a	28	5	23
RP23-109G18.5	4	0	4
Fam46c	26	6	20
Luzp1	276	23	253
Pptc7	52	0	52
AC161510.1	1	1	0
Luzp2	174	1	173
Rita1	131	50	81
RP24-529L13.2	8	8	0
Cdkal1	131	36	95
H2-Ab1	2	1	1
Zufsp	98	0	98
Lag3	37	1	36
Snrnp70	1652	680	972
Dzank1	15	0	15
AC121973.1	11	1	10
Mtmr10	47	7	40
Fam45a	165	47	118
Mtmr14	213	77	136
RP23-41F9.1	45	45	0
Mtmr12	61	1	60
Mtmr11	9	4	5
Trak1	447	1	446
Trak2	72	11	61
Traip	90	35	55
Snrnp40	844	635	209
RP23-97M20.1	36	36	0
Blm	68	4	64
RP23-310N21.2	9	9	0
RP23-11D11.1	1	0	1
Snrnp48	845	239	606
RP24-280G4.6	2	2	0
RP24-280G4.7	1	1	0
Rnu2-10	48	48	0
Tfcp2l1	11	0	11
Rps18-ps1	4	4	0
RP24-534C15.2	2	0	2
Bmf	11	2	9
Mdn1	289	52	237
Dscr3	225	177	48
Apmap	99	68	31
Igsf9b	63	0	63
Dhcr7	257	0	257
Fam43a	11	11	0
Mpdu1	499	429	70
Fam43b	47	47	0
RP23-384G1.1	7	1	6
Natd1	128	45	83
Mdm2	171	35	136
Aak1	355	0	355
Mdm4	317	65	252
RP24-153A6.1	18	18	0
Mdm1	136	44	92
RP23-309M3.5	3	3	0
Traf7	213	17	196
Erlec1	271	52	219
Traf4	924	769	155
Traf3	84	4	80
Bdnf	42	18	24
RP23-74B12.2	1	1	0
Traf6	502	6	496
Gm17250	3	3	0
Traf5	2	0	2
Snrnp25	396	364	32
RP23-421B5.3	1	0	1
Gm5514	3	3	0
Snrnp27	714	502	212
Gm5518	252	252	0
RP23-59P17.2	6	0	6
RP24-104I4.3	10	10	0
Tradd	90	17	73
Boc	37	3	34
RP23-446D4.5	5	5	0
Traf2	109	52	57
Traf1	4	0	4
Mdp1	114	101	13
RP24-361O20.1	2	2	0
RP23-59P17.1	1	1	0
Syngap1	26	0	26
Bok	615	443	172
RP24-79F8.3	3	1	2
Emx1	581	516	65
Emx2	413	190	223
RP23-446D4.7	9	9	0
RP23-164N7.3	9	9	0
Snrnp35	172	130	42
Pmvk	452	386	66
RP23-347F4.1	32	23	9
RP23-73F23.6	1	0	1
RP23-73F23.5	1	1	0
Bdp1	213	13	200
Gm17275	1	0	1
RP24-91E8.1	9	9	0
RP23-350M23.6	817	817	0
RP24-494I18.6	10	10	0
U2af1	2190	1915	275
RP23-273I12.1	8	0	8
Tapt1	29	7	22
Trabd	185	123	62
Lao1	2	2	0
RP23-63F23.5	4	2	2
U2af2	767	494	273
RP23-63F23.3	3	3	0
RP23-103B18.8	1	0	1
Gm17281	1	0	1
AC139673.3	6	1	5
Nfasc	275	0	275
RP24-87I22.6	11	0	11
Rps6-ps4	1853	1853	0
Apopt1	272	162	110
Spag1	28	1	27
Emilin1	15	3	12
Emilin2	2	0	2
Emilin3	1	0	1
Spag9	1479	5	1474
Ngrn	401	368	33
Nfat5	331	30	301
Spag7	38	29	9
Spag8	4	0	4
Spag5	70	6	64
Bre	52	0	52
RP23-314I1.1	7	3	4
Spag6	12	5	7
Spag4	35	7	28
Aamp	868	722	146
RP23-38E20.8	3	0	3
Fcho1	181	29	152
Gpatch11	393	135	258
Fcho2	102	11	91
Lrrfip1	309	7	302
RP24-89G21.1	1	0	1
Lrrfip2	321	68	253
RP24-182A8.1	2	2	0
RP24-182A8.2	1	1	0
RP24-89G21.5	1	0	1
AC150313.1	1	1	0
RP24-89G21.3	1	0	1
Mdrl	15	14	1
Bsg	1898	1730	168
n-R5s173	1	1	0
Bsn	134	0	134
RP23-335F6.3	98	56	42
Spast	394	24	370
RP24-227L14.1	349	216	133
RP23-311C19.1	194	100	94
RP24-217M7.4	45	0	45
RP23-311C19.3	14	0	14
Phlpp1	147	1	146
Phlpp2	127	10	117
Fermt3	4	0	4
Fermt2	353	15	338
Btc	1	0	1
Btd	60	36	24
RP24-152K14.1	1	1	0
Hip1r	131	34	97
Btk	1	0	1
Coq10a	145	100	45
Coq10b	323	148	175
Lap3	268	210	58
RP23-333A18.2	2	0	2
RP23-57L17.1	9	9	0
RP23-454K24.1	248	70	178
RP23-423P21.1	4	4	0
Hint1	7897	7621	276
Hint2	354	322	32
Tbxa2r	5	5	0
Hint3	102	54	48
RP23-454K24.3	26	26	0
Rtf1	1990	16	1974
RP23-189F6.3	5	5	0
Wapl	265	0	265
Trap1	156	89	67
AC127252.4	10	2	8
RP23-23B10.3	7	7	0
RP24-326B24.1	1	0	1
Swi5	3093	2861	232
Plxna4os3	1	0	1
RP23-117E23.1	11	11	0
Plxna4os1	1	0	1
Chtf18	34	6	28
Secisbp2l	248	8	240
RP23-23B10.4	40	0	40
RP23-399H5.12	5	5	0
Aar2	169	94	75
RP23-283N14.2	6	2	4
Rtcb	739	566	173
Rtca	448	335	113
RP23-392I13.6	6	6	0
Sec62	1163	31	1132
RP23-381M16.1	1	0	1
Aard	22	18	4
Akt2-ps	3	3	0
Sec63	420	13	407
RP23-356J2.8	3	0	3
RP24-347C6.4	17	0	17
RP24-347C6.5	8	8	0
Sparc	487	317	170
RP23-365E22.1	6	6	0
RP24-132G6.4	63	60	3
RP23-16D16.14	18	18	0
RP23-16D16.13	35	35	0
RP23-16D16.12	1	1	0
RP23-88C11.3	2	2	0
RP23-88C11.5	30	30	0
Cmya5	1	0	1
Wars	278	134	144
RP23-136G17.1	1	0	1
Spc24	337	266	71
Spc25	289	207	82
Enah	684	66	618
RP23-221O14.10	644	457	187
RP24-219E4.1	1	1	0
Enc1	739	159	580
RP24-409K22.3	2	0	2
Aars	402	47	355
Nploc4	84	9	75
Spty2d1	143	2	141
Aatk	110	7	103
Anks1b	659	15	644
Aatf	238	128	110
Lars	287	28	259
Fam49a	723	234	489
Lat2	2	0	2
Fam49b	366	110	256
RP24-475M20.2	2	1	1
Tmtc3	41	3	38
Tmtc2	41	6	35
RP23-288K19.3	2	0	2
Vldlr	186	19	167
Tmtc1	23	0	23
RP23-33L24.1	2	0	2
Rps24-ps3	144	144	0
Abca15	1	0	1
RP24-475M20.4	3	0	3
